address1,address2,bamm_approved,bamm_used_desc,cems_used,city,co2_captured,comments,county,county_fips,eggrt_facility_id,emission_classification_code,emitted_co2_supplied,facility_id,facility_name,facility_types,frs_id,latitude,longitude,naics_code,parent_company,process_stationary_cml,program_name,program_sys_id,reported_industry_types,reported_subparts,reporting_status,rr_monitoring_plan,rr_monitoring_plan_filename,rr_mrv_plan_url,state,state_name,submission_id,tribal_land_id,uu_rd_exempt,year,zip
194 COUNTY ROUTE 45,,,,,MASSENA,,,SAINT LAWRENCE,36089,523439.0000000000,DEFAULT,,1002485,REYNOLDS METALS ST LAWRENCE REDUCTION PL,,110000326111,44.982804000000000,-74.748897000000000,331312,ALCOA INC (100%);,,FRS,110000326111,,,STOPPED_REPORTING_VALID_REASON,,,,NY,New York,,,,2017,13662
1540 98TH AVE SE,,,,,WIMBLEDON,,,BARNES COUNTY,38003,530160.0000000000,CU_OTHERS,,1001558,"ALLIANCE PIPELINE, L.P.-WIMBLEDON COMPRESSOR STATION",Direct Emitter,110022357279,47.191058000000000,-98.425610000000000,486210,ENBRIDGE ENERGY MANAGEMENT (50%); Pembina Pipeline CORP (50%),,FRS,110022357279,"C,W-NGTC","C,W",,,,,ND,North Dakota,320217.0000000000,,,2017,58492
2301 SE Stallings Dr,,,,,Nacogdoches,,,NACOGDOCHES COUNTY,48347,585721.0000000000,CU_ONLY,,1014657,"Norbord Texas Nacogdoches, Inc.",Direct Emitter,110000458816,31.578190000000000,-94.652150000000000,321219,WEST FRASER INC (100%),,Green House Gas e-GGRT,585721,C,C,,,,,TX,Texas,349692.0000000000,,,2019,75963
850 TROPICANA RANCH ROAD,,,,,COLTON,,,SAN BERNARDINO COUNTY,06071,526844.0000000000,DEFAULT,,1004691,COLTON SANITARY LANDFILL,Direct Emitter,110012694557,34.045505000000000,-117.336573000000000,562212,COUNTY OF SAN BERNARDINO SOLID WASTE MANAGEMENT DIV (100%),,FRS,110012694557,HH,HH,,,,,CA,California,165757.0000000000,,,2017,92324
68 EL PASO CIRCLE,,,,,Gallup,,,MCKINLEY COUNTY,35031,523121.0000000000,DEFAULT,,1002233,WINGATE FRACTIONATING PLANT,,110022697312,35.535556000000000,-108.643139000000000,424710,MARATHON PETROLEUM CO LP (100%),,FRS,110022697312,,,STOPPED_REPORTING_VALID_REASON,,,,NM,New Mexico,,,,2020,87301
22123 HIGHWAY 5,,,,,MILAN,,,SULLIVAN COUNTY,29211,559303.0000000000,CU_ONLY,,1011725,SMITHFIELD FRESH MEATS CORP - MILAN,Direct Emitter,110011093173,40.218922000000000,-93.121535000000000,311611,UNITED GLOBAL FOODS US HOLDINGS INC (100%),,Green House Gas e-GGRT,559303,"C,II","C,II",,,,,MO,Missouri,178407.0000000000,,,2018,63556
112 Spragins Street,,,,,Huntsville,,,MADISON COUNTY,01089,522712.0000000000,DEFAULT,,1002297,Huntsville Utilities,"Supplier, LDC - Direct Emissions",110071159514,34.730000000000000,-86.590000000000000,221210,HUNTSVILLE UTILITIES (100%),,Green House Gas e-GGRT,522712,"NN-LDC,W-LDC","NN,W",,,,,AL,Alabama,162744.0000000000,,,2017,35804
1414 Enclave Parkway,,,,,Houston,,,HARRIS COUNTY,48201,578661.0000000000,DEFAULT,,1014063,Transocean Offshore Deepwater Drilling Inc.,,110032943518,29.757915000000000,-95.618810000000000,213111,TRANSOCEAN INC (100%),,Green House Gas e-GGRT,578661,,,STOPPED_REPORTING_UNKNOWN_REASON,,,,TX,Texas,,,,2023,77077
2143 STORY MILL ROAD,,,,,BOZEMAN,,,GALLATIN COUNTY,30031,525837.0000000000,DEFAULT,,1003987,CITY OF BOZEMAN SANITARY LANDFILL,Direct Emitter,110028112405,45.717222000000000,-111.026611000000000,562212,"City of Bozeman, Montana (100%)",,FRS,110028112405,HH,HH,,,,,MT,Montana,66389.0000000000,,,2012,59771
2250 A STREET SW,,,,,CEDAR RAPIDS,,,LINN,19113,522559.0000000000,CU_OTHERS,,1001766,Cedar Rapids/Linn County Solid Waste Agency Site #1,Direct Emitter,110002439601,42.085004000000000,-91.556144000000000,562212,Cedar Rapids Linn County Solid Waste Agency (100%),,FRS,110002439601,"C,HH","C,HH",,,,,IA,Iowa,67286.0000000000,,,2010,52404
1201 Lake Robbins Drive,,,,,The Woodlands,,,MONTGOMERY COUNTY,48339,537260.0000000000,DEFAULT,,1008934,East Texas Basin - AAPG Province 260,Onshore Oil & Gas Production,110038071181,30.161150000000000,-95.453890000000000,211111,ANADARKO PETROLEUM CORP (100%),,Green House Gas e-GGRT,537260,W-ONSH,W,,,,,TX,Texas,156607.0000000000,,,2015,77380
,,,,,Stuart,,,PITTSBURG,40121,526815.0000000000,DEFAULT,,1004545,Sherman Ellis,,110031098997,34.888580000000000,-96.029490000000000,486210,MARATHON PETROLEUM CO LP (100%),,Green House Gas e-GGRT,526815,,,STOPPED_REPORTING_VALID_REASON,,,,OK,Oklahoma,,17.0000000000,,2018,74570
,,,,,Offshore,,,,,560937.0000000000,CU_OTHERS,,1011917,"Lucius Spar, Keathley Canyon 875 Platform",Direct Emitter,,26.132200000000000,-92.040340000000000,211120,OCCIDENTAL PETROLEUM CORP (100%),,Green House Gas e-GGRT,560937,"C,W-OFFSH","C,W",,,,,LA,Louisiana,345738.0000000000,,,2022,00000
29235 Highway 33,,,,,Maricopa,,,KERN COUNTY,06029,528840.0000000000,CU_ONLY,,1003702,Aera Energy Buena Fe,Direct Emitter,110043802757,35.092330000000000,-119.407371000000000,211120,SHELL OIL CO (51.8%); EXXONMOBIL CORP (48.2%),,Green House Gas e-GGRT,528840,C,C,,,,,CA,California,168432.0000000000,,,2017,93252
,,,,,San Juan,,,SAN JUAN MUNICIPIO,72127,527741.0000000000,DEFAULT,,1007139,San Juan Landfill,,110071160148,18.435800000000000,-66.081600000000000,562212,MUNICIPALITY DE SAN JUAN (100%),,Green House Gas e-GGRT,527741,,,STOPPED_REPORTING_UNKNOWN_REASON,,,,PR,Puerto Rico,,,,2020,00907
5499 WEST NEEDLE MOUNTAIN ROAD,,,,,TOPOCK,,,MOHAVE COUNTY,04015,522923.0000000000,CU_OTHERS,,1002060,"EPNG Station 1775 Mojave Topock, AZ",Direct Emitter,110010132445,34.725926000000000,-114.463984000000000,486210,KINDER MORGAN INC (100%),,FRS,110041185623,"C,W-NGTC","C,W",,,,,AZ,Arizona,291157.0000000000,,,2020,86436
2882 STATELINE RD,,,,,SOUTHHAVEN,,,DeSoto,28033,520842.0000000000,CU_OTHERS,,1005831,Southaven Combined Cycle,Direct Emitter,110039204303,34.993900000000000,-90.039000000000000,221112,US GOVERNMENT (%),,Clean Air Markets Division Business Database,1386,"C,D","C,D",,,,,MS,Mississippi,179234.0000000000,,,2018,38671
9700 S CASS AVE,,,,,LEMONT,,,DUPAGE COUNTY,17043,522637.0000000000,CU_ONLY,,1001899,U.S. DOE ARGONNE NATIONAL LABORATORY,Direct Emitter,110041963168,41.715770000000000,-87.978630000000000,541712,U. S. Department of Energy (100%),,FRS,110018067633,C,C,,,,,IL,Illinois,98873.0000000000,,,2014,60439
5155 Enka Highway,,,,,Lowland,,,HAMBLEN COUNTY,47063,551277.0000000000,CU_OTHERS,,1010760,Lakeway Sanitation & Recycling Class I,Direct Emitter,110055521911,36.146920000000000,-83.200230000000000,562212,GFL ENVIRONMENTAL USA INC (100%),,Green House Gas e-GGRT,551277,"C,HH","C,HH",,,,,TN,Tennessee,308336.0000000000,,,2021,37778
2700 East County Road 82,,,,Y,Wellington,,,Larimer,08069,520336.0000000000,CU_OTHERS,,1001062,Rawhide Energy Station,Direct Emitter,110000607148,40.861100000000000,-105.020600000000000,221112,PLATTE RIVER POWER AUTHORITY (100%),,Clean Air Markets Division Business Database,875,"C,D","C,D",,,,,CO,Colorado,202499.0000000000,,,2019,80549
3800 Cisco Way,,,,,SAN JOSE,,,SANTA CLARA COUNTY,06085,522006.0000000000,DEFAULT,,1005975,O L S ENERGY-AGNEWS,,110000527476,37.408333000000000,-121.929167000000000,221112,VOLT PARENT LP (100%),,FRS,110001196571,,,STOPPED_REPORTING_VALID_REASON,,,,CA,California,,,,2022,95134
400 E. Holt St.,,,,,Mexico,,,AUDRAIN COUNTY,29007,525041.0000000000,CU_ONLY,,1003476,Archer Daniels Midland,Direct Emitter,110017981656,39.169552000000000,-91.879288000000000,311222,ARCHER DANIELS MIDLAND CO (100%),,Green House Gas e-GGRT,525041,C,C,,,,,MO,Missouri,133164.0000000000,,,2016,65265
,,,,,Tilden,,,MCMULLEN,48311,526455.0000000000,CU_OTHERS,,1006225,Tilden Gas Plant,"Direct Emitter, CO2 Injection",110043969774,28.409989000000000,-98.530139000000000,211112,REGENCY ENERGY PARTNERS LP (100%),,FRS,110040912965,"C,UU,W-PROC","C,UU,W",,,,,TX,Texas,53125.0000000000,,,2012,78072
1293 Eldridge Parkway,,,,,Houston,,,,,547439.0000000000,DEFAULT,,1010467,CITGO Petroleum Corporation,Supplier,,29.762320000000000,-95.625270000000000,324110,PDV HOLDING INC (100%),,Green House Gas e-GGRT,547439,"MM-IMP,MM-EXP",MM,,,,,TX,Texas,319618.0000000000,,,2016,77077
26265 STATE HIGHWAY B,,,,,LA GRANGE,,,LEWIS COUNTY,29111,525178.0000000000,DEFAULT,,1003412,BACKRIDGE LANDFILL,Direct Emitter,110041003641,40.016100000000000,-91.521700000000000,562212,REPUBLIC SERVICES INC (100%),,FRS,110041003641,HH,HH,,,,,MO,Missouri,136093.0000000000,,,2016,63448
151 GRAND AVE.,,,,,CLARION,,,CLARION COUNTY,42031,523964.0000000000,DEFAULT,,1002914,OWENS BROCKWAY GLASS CONTAINER INC. PLT 17,,110000331285,41.206785000000000,-79.375444000000000,327213,"Owens-Illinois, Inc. (100%);",,FRS,110000331285,,,STOPPED_REPORTING_VALID_REASON,,,,PA,Pennsylvania,,,,2023,16214
,,,,,Springville,,,SUSQUEHANNA,42115,541777.0000000000,DEFAULT,,1007776,Lathrop Compressor Station,,110046286808,41.712700000000000,-75.918500000000000,213112,"WILLIAMS PARTNERS, LP (100%)",,Green House Gas e-GGRT,541777,,,STOPPED_REPORTING_VALID_REASON,,,,PA,Pennsylvania,,,,2022,18844
US 421 South at Grays Knob,,,,,Harlan,,,,,550298.0000000000,DEFAULT,,1010703,CVB No 1,,110055517123,36.919429000000000,-82.794549000000000,212112,REX COAL CO (100%),,Green House Gas e-GGRT,550298,,,STOPPED_REPORTING_VALID_REASON,,,,KY,Kentucky,,,,2020,40829
12539 COUNTY ROAD G,,,,,BRYAN,,,WILLIAMS COUNTY,39171,525925.0000000000,CU_OTHERS,,1003695,WILLIAMS COUNTY LANDFILL,Direct Emitter,110043812719,41.518000000000000,-84.587000000000000,562212,"Republic Services, Inc. (100%)",,FRS,110034173034,"C,HH","C,HH",,,,,OH,Ohio,95687.0000000000,,,2013,43506
104 EAST RIVERSIDE ST,,,,Y,COVINGTON,,,Alleghany,51005,521360.0000000000,CU_OTHERS,,1000256,"WestRock Virginia, Covington",Direct Emitter,110000870013,37.799700000000000,-79.994600000000000,322130,WESTROCK CO (100%),,Clean Air Markets Division Business Database,7558,"AA,C,TT","AA,C,TT",,,,,VA,Virginia,309071.0000000000,,,2021,24426
123 Robert S. Kerr Ave.,,,,,Oklahoma City,,,OKLAHOMA COUNTY,40109,538625.0000000000,DEFAULT,,1008806,SandRidge 360 Anadarko Basin,Onshore Oil & Gas Production,110015771431,35.469800000000000,-97.514770000000000,211111,SANDRIDGE ENERGY INC (100%),,Green House Gas e-GGRT,538625,W-ONSH,W,,,,,OK,Oklahoma,172190.0000000000,,,2017,73102
12495 HWY 114,,,,,JUSTIN,,,DENTON COUNTY,48121,533659.0000000000,CU_OTHERS,,1005887,ALLIANCE COMPRESSOR STATION,Direct Emitter,110037924486,33.034250000000000,-97.346920000000000,211112,CRESTWOOD MIDSTREAM PARTNERS LP (100%),,FRS,110037924486,"C,W-PROC","C,W",,,,,TX,Texas,109078.0000000000,,,2014,76247
1111 Bagby Street,,,,,Houston,,,HARRIS COUNTY,48201,574425.0000000000,DEFAULT,,1013709,EOG Resources Inc. 515 Powder River Basin Gathering and Boosting,Onshore Gathering & Boosting,110070209439,29.758940000000000,-95.370960000000000,211120,EOG RESOURCES INC (100%),,Green House Gas e-GGRT,574425,W-GB,W,,,,,TX,Texas,286823.0000000000,,,2020,77002
10719 PURRYSBURG ROAD,,,,,HARDEEVILLE,,,Jasper,45053,521394.0000000000,DEFAULT,,1000277,Jasper County Generating Facility,Direct Emitter,110020013590,32.359200000000000,-81.123600000000000,221112,SCANA CORP (100%),,Clean Air Markets Division Business Database,7593,D,D,,,,,SC,South Carolina,88858.0000000000,,,2013,29927
150 ROUNTREE LANE,,,,,WATSONVILLE,,,SANTA CRUZ COUNTY,06087,534397.0000000000,DEFAULT,,1006221,BUENA VISTA DRIVE SANITARY LANDFILL,Direct Emitter,110017973291,36.916570000000000,-121.815250000000000,562212,"County of Santa Cruz, Department of Public Works (100%)",,FRS,110017973291,HH,HH,,,,,CA,California,94489.0000000000,,,2013,95076
"32.3941N, -97.4933W",,,,,GODLEY,,,JOHNSON COUNTY,48251,524577.0000000000,DEFAULT,,1003171,GODLEY COMPRESSOR STATION,,110043806977,32.395680000000000,-97.492390000000000,486210,"EnLink North Texas Gathering, LP (100%)",,FRS,110038084300,,,STOPPED_REPORTING_VALID_REASON,,,,TX,Texas,,,,2021,76044
2020 EAST TREMONT AVE,,,,,BRONX,,,BRONX COUNTY,36005,534838.0000000000,CU_ONLY,,1007716,PARKCHESTER SOUTH CONDOMINIUM,Direct Emitter,110019750438,40.841700000000000,-73.860140000000000,813990,Parkchester South Condominium  (100%),,FRS,110019750438,C (Abbr),C (Abbr),,,,,NY,New York,15880.0000000000,,,2010,10462
2234 MAIN AVE SW,,,,,WARREN,,,TRUMBULL COUNTY,39155,525208.0000000000,CU_OTHERS,,1003380,Cleveland-Cliffs Warren,Direct Emitter,110012566767,41.211242000000000,-80.816820000000000,324199,ARCELORMITTAL USA LLC (100%),,FRS,110041003856,"C,Q","C,Q",,,,,OH,Ohio,206716.0000000000,,,2019,44481
3372 LIME ROAD,,,,Y,PUEBLO,,,PUEBLO COUNTY,08101,524559.0000000000,CU_OTHERS,,1003067,GCC RIO GRANDE INC,Direct Emitter,110037262636,38.129058000000000,-104.606741000000000,327310,GCC OF AMERICA INC (100%),H,FRS,110037262636,"C,H","C,H",,,,,CO,Colorado,312029.0000000000,,,2021,81004
16000  BELLS BAY RD,,,,,CHARLEVOIX,,,CHARLEVOIX,26029,526381.0000000000,CU_OTHERS,,1005629,St Marys Cement INC,Direct Emitter,110042084570,45.316951000000000,-85.299349000000000,327310,St Barbara Cement (100%),,FRS,110041020301,"C,H","C,H",,,,,MI,Michigan,8300.0000000000,,,2010,49720
979 W. Main Street,,,,,Rock Hill,,,YORK COUNTY,45091,535857.0000000000,DEFAULT,,1006992,York County Natural Gas Authority,Supplier,110071160161,34.936044000000000,-81.042738000000000,221210,YORK COUNTY NATURAL GAS AUTHORITY (100%),,Green House Gas e-GGRT,535857,NN-LDC,NN,,,,,SC,South Carolina,265722.0000000000,,,2020,29730
,,,,,HUGOTON,,,STEVENS COUNTY,20189,522820.0000000000,CU_ONLY,,1002201,"WTG HUGOTON, LP",Direct Emitter,110010323186,37.201050000000000,-101.161675000000000,486210,"WEST TEXAS GAS, INC (99%); WTGKS GP. LLC (1%)",,FRS,110010323186,C,C,,,,,KS,Kansas,104625.0000000000,,,2014,67951
6920 LEWISBURG RD,,,,,RUSSELLVILLE,,,LOGAN COUNTY,21141,523977.0000000000,CU_ONLY,,1002771,LOGAN ALUMINUM INC,Direct Emitter,110043784982,36.942885000000000,-86.937382000000000,331315,TRI-ARROWS ALUMINUM INC (60%); NOVELIS INC (40%),,FRS,110041175055,C,C,,,,,KY,Kentucky,177055.0000000000,,,2018,42276
1153 Oliver Rd.,,,,,Cuero,,,DEWITT COUNTY,48123,558037.0000000000,DEFAULT,,1011525,Black Hawk Northeast Central Delivery Point,,110063697263,29.267500000000000,-97.392290000000000,211111,BHP BILLITON (75%); KINDER MORGAN (25%),,Green House Gas e-GGRT,558037,,,STOPPED_REPORTING_VALID_REASON,,,,TX,Texas,,,,2023,77954
15301 140th Avenue,,,,,Becker,,,SHERBURNE COUNTY,27141,540797.0000000000,DEFAULT,,1004449,Vonco II Landfill,Direct Emitter,110055509490,45.352493000000000,-93.870775000000000,562212,VONCO II LLC (100%),,Green House Gas e-GGRT,540797,TT,TT,,,,,MN,Minnesota,210791.0000000000,,,2019,55308
2120 E. AUSTIN,,,,,NEVADA,,,VERNON COUNTY,29217,527520.0000000000,CU_ONLY,,1004804,3M NEVADA PLANT,Direct Emitter,110000443805,37.834476000000000,-94.330625000000000,326113,3M CO (100%),,FRS,110000443805,C,C,,,,,MO,Missouri,258971.0000000000,,,2020,64772
54 Monroe Avenue,,,,,Lexington,,,HENDERSON COUNTY,47077,552957.0000000000,DEFAULT,,1010935,Lexington Gas System,Supplier,110056383211,35.648981000000000,-88.394311000000000,221210,LEXINGTON GAS SYSTEM CITY OF LEXINGTON TENNESSEE (100%),,Green House Gas e-GGRT,552957,NN-LDC,NN,,,,,TN,Tennessee,128623.0000000000,,,2016,38351
1021 Industrial Drive,,,,,Stockton,,,SAN JOAQUIN COUNTY,06077,548497.0000000000,CU_ONLY,,1010590,Ingredion Incorporated,Direct Emitter,110017396094,37.909710000000000,-121.263420000000000,311221,INGREDION INC (100%),,Green House Gas e-GGRT,548497,C,C,,,,,CA,California,167830.0000000000,,,2017,95206
WEST END CAMPUS ROAD,,,,,BRENTWOOD,,,Suffolk,36103,521372.0000000000,DEFAULT,,1000267,Edgewood Energy,Direct Emitter,110071160661,40.786100000000000,-73.293100000000000,221112,J POWER USA DEVELOPMENT CO LTD (100%),,Clean Air Markets Division Business Database,7570,D,D,,,,,NY,New York,262237.0000000000,,,2020,11717
,,,,,Midwest,,,NIOBRARA COUNTY,56027,528785.0000000000,DEFAULT,,1003698,Salt Creek CO2 Supplier,CO2 Injection,110055508650,43.402400000000000,-104.287500000000000,211120,FDL OPERATING LLC (77%); DENBURY INC (23%),,Green House Gas e-GGRT,528785,UU,UU,,,,,WY,Wyoming,249280.0000000000,,,2020,82643
800 WEST 1ST AVENUE,,,,,SHAKOPEE,,,SCOTT COUNTY,27139,528450.0000000000,CU_ONLY,,1005546,RAHR MALTING CO - SHAKOPEE,Direct Emitter,110000497445,44.797170000000000,-93.538440000000000,311213,,,FRS,110000497445,C,C,,,,,MN,Minnesota,36185.0000000000,,,2011,55379
6897 CONSOLIDATED WAY,,,,,SAN DIEGO,,,San Diego,06073,521721.0000000000,DEFAULT,,1000447,Miramar Energy Facility,Direct Emitter,110000609994,32.876900000000000,-117.166400000000000,221112,SEMPRA ENERGY INC (100.0%),,Clean Air Markets Division Business Database,8081,D,D,,,,,CA,California,346501.0000000000,,,2022,92121
2398 VICTORIA ROAD,,,,,FREEPORT,,,BRAZORIA COUNTY,48039,525498.0000000000,CU_OTHERS,,1003730,AIR LIQUIDE - FREEPORT HYCO PLANT,Direct Emitter,110005184497,28.980370000000000,-95.383960000000000,325120,AMERICAN AIR LIQUIDE HOLDINGS INC (100%),,FRS,110005184497,"C,P","C,P",,,,,TX,Texas,312450.0000000000,,,2021,77541
554 HWY 212 (ZIP PROVIDED IS NOT WY),,,,,BELLE FOURCHE,,,BUTTE COUNTY,46019,525456.0000000000,CU_ONLY,,1003913,BENTONITE PERFORMANCE MINERALS-COLONY,Direct Emitter,110063969843,44.681090000000000,-103.851800000000000,212325,HALLIBURTON ENERGY SERVICES (100%),,FRS,110010411624,C,C,,,,,SD,South Dakota,168254.0000000000,,,2017,57717
744 West Street,,,,,Gardner,,,WORCESTER,25027,524922.0000000000,DEFAULT,,1003393,West Street Landfill,,110024371160,42.587200000000000,-72.024700000000000,562212,City of Gardner (100%);,,Green House Gas e-GGRT,524922,,,STOPPED_REPORTING_VALID_REASON,,,,MA,Massachusetts,,,,2013,01440
WEST END CAMPUS ROAD,,,,,BRENTWOOD,,,Suffolk,36103,521372.0000000000,DEFAULT,,1000267,Edgewood Energy,Direct Emitter,110014360057,40.786100000000000,-73.293100000000000,221112,J POWER USA DEVELOPMENT CO LTD (100%),,Clean Air Markets Division Business Database,7570,D,D,,,,,NY,New York,63366.0000000000,,,2011,11717
2020 SOUTH RIVERFRONT DRIVE,,,,,MANKATO,,,BLUE EARTH,27013,528948.0000000000,CU_ONLY,,1004656,CHS MANKATO,Direct Emitter,110015870912,44.157200000000000,-94.030900000000000,311222,CHS Inc. (100%),,FRS,110015870912,C,C,,,,,MN,Minnesota,7054.0000000000,,,2010,56001
410 W. Grand Parkway South,,,,,Katy,,,,,539580.0000000000,DEFAULT,,1008188,"Trinity River Energy Operating, LLC 415 Strawn Syncline",Onshore Oil & Gas Production,,29.775530000000000,-95.777840000000000,211111,LEGEND NATURAL GAS LLC (100%),,Green House Gas e-GGRT,539580,W-ONSH,W,,,,,TX,Texas,122507.0000000000,,,2015,77494
1762 LOVERS LANE,,,,,AUGUSTA,,,RICHMOND COUNTY,13245,522437.0000000000,DEFAULT,,1001740,THE NUTRASWEET COMPANY,,110000359567,33.392583000000000,-81.943139000000000,325199,JW CHILDS LP (100%),,FRS,110000359567,,,STOPPED_REPORTING_VALID_REASON,,,,GA,Georgia,,,,2023,30901
COUNTY ROAD 2150 N,,,,,OAKWOOD,,,Vermilion,17183,519638.0000000000,DEFAULT,,1001526,Vermilion Power Station,Direct Emitter,110021308253,40.178100000000000,-87.748100000000000,221112,DYNEGY INC (100%),,Clean Air Markets Division Business Database,176,"C,D","C,D",,,,,IL,Illinois,44494.0000000000,,,2012,61858
414 462 AVE P,,,,,NEWARK,,,Essex,34013,520602.0000000000,CU_OTHERS,,1001239,Newark Bay Cogen,Direct Emitter,110071161148,40.719700000000000,-74.130000000000000,221112,TALEN ENERGY CORP (100%),,Clean Air Markets Division Business Database,1145,"C,D","C,D",,,,,NJ,New Jersey,341017.0000000000,,,2022,07105
1327 Smiley Road,,,,,Madill,,,MARSHALL COUNTY,40095,541337.0000000000,CU_OTHERS,,1004453,Mid American Steel & Wire,Direct Emitter,110022524062,34.070910000000000,-96.755030000000000,331111,MID AMERICAN STEEL & WIRE CO LLC (100%),,Green House Gas e-GGRT,541337,"C,Q","C,Q",,,,,OK,Oklahoma,119010.0000000000,16.0000000000,,2015,73446
,,,,,Midland,,,YOAKUM COUNTY,48501,544018.0000000000,DEFAULT,,1009739,XTO Cornell Mahoney Field CO2 Injection,CO2 Injection,110055517622,33.036433000000000,-102.826353000000000,211130,EXXON MOBIL CORP (100%),,Green House Gas e-GGRT,544018,UU,UU,,,,,TX,Texas,318563.0000000000,,,2021,79701
6000 SE 2nd Street,,,,,Tecumseh,,,SHAWNEE COUNTY,20177,528698.0000000000,CU_ONLY,,1005425,"Futamura USA, Inc.",Direct Emitter,110000445821,39.053360000000000,-95.557551000000000,325221,INNOVIA FILMS INC (100%),,Green House Gas e-GGRT,528698,C,C,,,,,KS,Kansas,116700.0000000000,,,2012,66542
200 BAY BRIDGE ROAD,,,,,MOBILE,,,MOBILE COUNTY,01097,523038.0000000000,CU_ONLY,,1002187,KIMBERLY-CLARK TISSUE COMPANY,Direct Emitter,110058122259,30.736214000000000,-88.048300000000000,322121,KIMBERLY-CLARK CORP (100%),,FRS,110003032058,C,C,,,,,AL,Alabama,187248.0000000000,,,2018,36610
